date,index,Brent Oil,Coin,Euro,USD,CPI,HOUSE,M1,M2,GDP,Gold,Agriculture,CoalMining,EstekrajeNaft,MahsolateFelezi,SayerMadan,Mansojat,Wood,paper,EntesharVaChap,FaravardehayeNafti,Lastic,FelezateAsasi,MashinAlat,DastgahayeBargi,VasayelErtebati,AbzaralatePezeshki,khodrosazi,GhandVaShekar,ChandReshteSanati,GazaeeBejozGhand,Daroee,Shimiyaee,KashiVaSeramik,Siman,KanehayeGeyreFelezi,SarmayeGozari,Bank,SayerMali,HamlVaNaghl,Bimeh,Amlakva,Rayaneh,FaniVaMohandesi,Mali,KanehayeFelezi
11/14/2011,-0.149562061,0.444928513,0.703512088,0.028844787,0.356289109,-0.064211275,0.220041513,0.036049,-0.452754783,-0.18520871,1.146094749,-0.09647532,-0.434225621,-0.455466876,-0.467450427,-0.079147171,0.47885069,-1.093290506,-0.130317301,-0.443004857,0.021251961,-0.210377754,-0.132876393,-0.499552066,-0.107182491,0.590697881,-0.031738025,-0.199354001,1.416603838,-0.127959991,-0.185652437,-0.196739256,-0.015657758,-0.08947593,-0.136318222,-0.226486038,-0.399753423,-0.011467623,-0.156050351,0.01797578,0.088337751,0.047685801,-0.176772623,-0.063296354,-0.007356323,-0.127384746
11/16/2011,-0.147792284,-0.05685727,1.802439226,0.549707037,0.227184903,-0.061426276,-0.164736825,0.234307591,-0.372013178,-0.182988393,-0.25607281,-0.09647532,-0.09259372,-0.066447009,-0.929660453,-0.079147171,0.173283666,-0.075837879,-0.042623503,-0.081066259,0.02920647,0.000316015,-0.07438129,0.114394387,-0.104977421,0.548351001,-0.031738025,-0.130822786,1.418370997,0.195024428,-0.236244538,-0.130618336,0.068300841,-0.450788285,-0.171675303,-0.349952231,-0.198493137,-0.169464095,-0.048221724,-0.101734713,0.074788058,0.287083939,-0.20127377,-0.117027428,-0.025303428,-0.107601116
11/19/2011,-0.391285064,-0.037232299,-2.314308917,-0.063797502,0.058389189,2.05678074,0.722367738,-0.091427885,-0.623374368,-0.305533824,0.829696635,-0.09647532,0.367002239,-1.502975793,-0.860506038,-0.079147171,-0.253558096,-0.16651737,-0.05934226,-0.897963311,-0.056783798,0.03865836,-0.241213078,-0.260990032,-0.239271877,0.494413258,-0.031738025,-0.418251838,3.002960152,-0.457055641,-0.143638166,-0.18471746,-0.275544931,-0.078326082,-0.207078505,0.216847654,-1.474926378,-0.050955201,-0.091390157,-0.462411327,-0.221340226,-0.2075404,-0.505551048,-0.686013132,-0.027442623,-0.133646978
11/20/2011,-0.472760792,0.476634062,-0.450342907,0.993011422,0.763173393,-0.060669084,-0.171920221,-0.085559675,-0.630852082,-0.174076569,0.823282243,-0.09647532,-0.398272339,0.014065409,-0.028314702,-0.079147171,-0.002603202,-0.302598045,-0.630217633,-0.697246742,-0.036462159,-0.343278534,-0.295376305,-0.132360426,-0.227909487,-0.586302214,-0.567462066,-0.624775379,0.210855339,-0.32071608,-0.464753977,-0.38942164,-0.015955429,-0.210017597,-0.100930389,0.19041555,-0.777067553,-0.248647231,-0.400141798,-0.26156008,0.36096748,-0.599152476,-0.978640427,-0.446744798,-0.045832114,-0.115940363
11/21/2011,-1.318338333,0.080139264,0.320992652,-0.514133613,-0.480934466,-0.067484963,0.168679884,1.286886054,-1.988736046,-0.171841477,0.55674204,0.306303691,0.260482143,-1.431746172,-1.050471876,0.426093983,-0.228545747,-0.075837879,-0.549536889,-0.081066259,-0.090542997,-0.636597608,-1.385595726,-0.239690502,-0.22700098,-0.13813563,0.626380598,-0.842005244,-1.184078615,-0.982188769,-1.469406427,-0.323573248,-0.58530401,-0.243096818,-0.277961983,0.334461402,-1.550904574,-0.907006071,-1.400647368,0.027330922,-0.311882804,-0.511976503,-2.725152385,-1.74597242,-0.147686028,-0.130538997
11/22/2011,-1.284787756,-0.177229443,-0.064675127,-0.214765289,-0.275358,-0.074285553,-0.190777573,-0.078770535,-0.640768576,-0.169603734,0.233796801,-0.004094093,-0.922086089,-0.173384608,-0.01789478,-0.079147171,-0.153298369,-0.200777802,-0.690748426,-0.176146413,-0.056053108,-0.558373161,-1.393698048,-0.460640899,-0.20971973,-0.67766525,1.128419295,-0.775949651,1.297048637,-1.021653653,-0.23047645,-0.511645745,-1.315648554,-0.298390178,-0.278208965,-0.079875873,-1.333693267,-0.492385788,-0.270947001,-0.271316955,-1.083307689,-0.179066875,-2.479228146,-1.546503046,-0.08706427,-0.140983497
11/23/2011,-0.515056986,-0.201588866,0.165211044,-0.306245457,-0.150770074,-0.081071049,-0.19547148,0.297313356,-0.458442718,-0.167363442,-0.279597862,1.486895796,-1.413084637,0.45663771,-0.526200023,-0.079147171,0.022630369,-0.299329854,-0.596253868,-0.081066259,-0.037236735,-0.555378387,-0.800559122,-0.689934307,-0.165883472,-0.743443215,1.230014769,-0.515626865,-0.993300072,-0.14701946,-0.247954256,-0.421798701,-0.329041078,-0.442663236,-0.349619315,-0.78587772,-0.202515145,-0.171137388,-0.114921202,-0.179547892,-1.217985604,-0.546035561,-1.547140179,-0.004170299,-0.03070536,-0.143094414
11/26/2011,-1.672817368,0.229455781,-0.294561299,-0.124583463,-0.192741152,1.081907491,-0.200157685,-0.085607086,-0.633668437,-0.258546221,0.302703084,-0.081690121,-0.849450955,-1.039250323,-1.049860965,-0.079147171,-0.128117462,-1.306654272,0.405518133,-0.117600363,-0.097020286,-0.35913684,-1.903688541,-0.691341244,-0.193974694,-0.525155176,0.890367233,-0.78040266,-0.589550237,-1.053355503,-0.291567859,-0.514141047,-1.112026686,-0.466373158,-0.707869793,-0.940180487,-0.876454323,-0.780088677,-0.677809789,-0.18855157,-0.188973522,-1.185404529,-1.619634802,-1.719229111,-0.119209921,-0.142075193
11/27/2011,-0.443069375,0.119296049,-0.064675127,-0.307642052,0.556776286,-0.10806596,0.221805996,-0.087309228,-0.631895138,-0.158378835,0.301814171,0.992468579,-0.840881724,-0.347535786,-1.238383392,-0.009202038,-0.228703951,-0.407329336,-0.611955124,-0.081066259,-0.035306494,-0.598956762,-0.351287012,-0.425676218,-0.228318263,-0.717951888,0.294233049,-0.856944424,-0.970687026,0.151967775,-0.501163985,-0.767359854,-0.64689234,-0.872115506,-0.279835579,-1.175171849,-0.999754746,-0.315093784,-1.289061153,-0.16581912,-0.314798871,-1.554310168,-2.474537607,-1.720849947,-0.062164266,-0.121194841
11/28/2011,0.26769784,0.118995356,-3.242731488,0.119191177,0.590310026,-0.114778875,-0.223481343,-0.08900863,-0.630122559,-0.194962063,0.300930321,-0.048539841,1.327645197,1.412517723,0.889740636,-0.079147171,1.018838933,-0.075837879,-0.547477039,-0.687825291,-0.055666051,0.282848812,1.267747343,0.007854105,0.198813913,-0.114945169,0.907866862,0.412978563,-0.87280563,0.962399486,-0.152977485,-0.019347026,-1.20659791,0.080370391,-0.280089144,0.646742109,0.722916165,-0.789527113,-0.006963644,-0.050594777,0.886721008,0.32554249,1.026091126,1.563559178,-0.092311111,-0.038676062
